,height_cm,weight_kg,id,path_to_images
0,193.04,81.818,195423,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{000D1ED4-C202-4577-8E8D-C6E78E8A4B5B}_group_3v.jpg
1,172.72,85.455,566305,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00145DD9-AB6C-4216-8B4D-0EEB9EA34056}_group_3v.jpg
2,167.64,68.182,50785,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{002720C0-21D9-49DF-A80F-B8A5DB35682E}_group_3v.jpg
3,160.02,53.636,327828,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{0040056E-5E01-45F3-85D7-F3156FBCE639}_group_3v.jpg
4,172.72,90.0,268675,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{004D2F34-07DB-415F-BD06-100C01FC86DA}_group_3v.jpg
5,152.4,45.455,238595,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{005A9231-517A-4C9F-AE47-D884CADBDACD}_group_3v.jpg
6,165.1,54.545,198679,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{0067DEED-C841-46CE-800E-B28C69C178C6}_group_3v.jpg
7,170.18,77.273,440508,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00748885-BEB0-4B53-A6B7-B2519811D56C}_group_3v.jpg
8,147.32,41.818,152309,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{007BC7B0-D985-4ED8-ACE6-F9B072081786}_group_3v.jpg
9,147.32,45.455,341273,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{007F4589-06DD-45F8-8673-72063D19D93C}_group_3v.jpg
10,177.8,68.182,194197,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{008D648B-D9C4-44BD-9BC4-86D331FD2D19}_group_3v.jpg
11,157.48,51.364,685389,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{009A7331-2C9C-49D6-ACF5-EEF1C6D15235}_group_3v.jpg
12,190.5,78.182,172195,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00B61F5C-ED07-4330-B422-27B13776A81F}_group_3v.jpg
13,129.54,30.909,375685,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00B7EC36-8B17-4A7C-86D8-F744CE02F46C}_group_3v.jpg
14,182.88,81.818,243375,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00D02DBE-AF8F-43D2-B447-3FB190417DA8}_group_3v.jpg
15,175.26,106.818,226352,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00E39D23-A603-4AF8-B78E-477E6B69D3BB}_group_3v.jpg
16,175.26,80.909,79743,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00E87606-A848-4AC6-B7FC-0156B5EE068C}_group_3v.jpg
17,147.32,42.273,190660,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00E87966-8EA3-439E-86B9-C294CCDD7A66}_group_3v.jpg
18,182.88,78.636,109131,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00EE05C4-6ECF-4F8A-B149-A599C9373C27}_group_3v.jpg
19,162.56,50.0,583360,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00EFB7E4-0CCA-4BC2-8FB5-AC4EFE1BFFD2}_group_3v.jpg
20,177.8,80.909,120930,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{00FF7977-0D71-48D1-9DB8-CFECDB04EE26}_group_3v.jpg
21,175.26,96.818,301862,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local\grouped_images_3vertical\{0105F368-55BA-40C3-9943-9B1500C5C64A}_group_3v.jpg
